date,total_users
2017-12-18T00:00:00+00:00,29
2017-12-19T00:00:00+00:00,68
2017-12-20T00:00:00+00:00,86
2017-12-21T00:00:00+00:00,100
2017-12-22T00:00:00+00:00,118
2017-12-23T00:00:00+00:00,134
2017-12-24T00:00:00+00:00,149
2017-12-25T00:00:00+00:00,157
2017-12-26T00:00:00+00:00,164
2017-12-27T00:00:00+00:00,168
2017-12-28T00:00:00+00:00,171
2017-12-29T00:00:00+00:00,175
2017-12-30T00:00:00+00:00,182
2017-12-31T00:00:00+00:00,189
2018-01-01T00:00:00+00:00,197
2018-01-02T00:00:00+00:00,203
2018-01-03T00:00:00+00:00,211
2018-01-04T00:00:00+00:00,220
2018-01-05T00:00:00+00:00,222
2018-01-06T00:00:00+00:00,230
2018-01-07T00:00:00+00:00,237
2018-01-08T00:00:00+00:00,239
2018-01-09T00:00:00+00:00,241
2018-01-10T00:00:00+00:00,243
2018-01-11T00:00:00+00:00,245
2018-01-12T00:00:00+00:00,249
2018-01-13T00:00:00+00:00,251
2018-01-14T00:00:00+00:00,255
2018-01-15T00:00:00+00:00,257
2018-01-16T00:00:00+00:00,264
2018-01-17T00:00:00+00:00,277
2018-01-18T00:00:00+00:00,285
2018-01-19T00:00:00+00:00,295
2018-01-20T00:00:00+00:00,300
2018-01-21T00:00:00+00:00,306
2018-01-22T00:00:00+00:00,314
2018-01-23T00:00:00+00:00,323
2018-01-24T00:00:00+00:00,330
2018-01-25T00:00:00+00:00,336
2018-01-26T00:00:00+00:00,342
2018-01-27T00:00:00+00:00,350
2018-01-28T00:00:00+00:00,354
2018-01-29T00:00:00+00:00,363
2018-01-30T00:00:00+00:00,371
2018-01-31T00:00:00+00:00,383
2018-02-01T00:00:00+00:00,388
2018-02-02T00:00:00+00:00,397
2018-02-03T00:00:00+00:00,401
2018-02-04T00:00:00+00:00,409
2018-02-05T00:00:00+00:00,424
2018-02-06T00:00:00+00:00,443
2018-02-07T00:00:00+00:00,460
2018-02-08T00:00:00+00:00,479
2018-02-09T00:00:00+00:00,490
2018-02-10T00:00:00+00:00,507
2018-02-11T00:00:00+00:00,525
2018-02-12T00:00:00+00:00,538
2018-02-13T00:00:00+00:00,552
2018-02-14T00:00:00+00:00,569
2018-02-15T00:00:00+00:00,581
2018-02-16T00:00:00+00:00,584
2018-02-17T00:00:00+00:00,591
2018-02-18T00:00:00+00:00,602
2018-02-19T00:00:00+00:00,613
2018-02-20T00:00:00+00:00,620
2018-02-21T00:00:00+00:00,626
2018-02-22T00:00:00+00:00,634
2018-02-23T00:00:00+00:00,644
2018-02-24T00:00:00+00:00,650
2018-02-25T00:00:00+00:00,657
2018-02-26T00:00:00+00:00,669
2018-02-27T00:00:00+00:00,678
2018-02-28T00:00:00+00:00,685
2018-03-01T00:00:00+00:00,693
2018-03-02T00:00:00+00:00,704
2018-03-03T00:00:00+00:00,710
2018-03-04T00:00:00+00:00,719
2018-03-05T00:00:00+00:00,722
2018-03-06T00:00:00+00:00,726
2018-03-07T00:00:00+00:00,738
2018-03-08T00:00:00+00:00,747
2018-03-09T00:00:00+00:00,765
2018-03-10T00:00:00+00:00,772
